RESEMAVAL,DISBELIEF,RELATIVISM,SCEPTICISM,AGE,EDUCATION,DEFIANCE,ReligCountry
0.302269,0.222222,0.0,0.33,50,0,0.11,Religious
0.302269,0.0,0.0,0.33,28,2,0.11,Religious
0.334083,0.166667,0.0,0.22,40,0,0.0,Religious
0.242083,0.0,0.0,0.0,53,0,0.166667,Religious
0.311667,0.0,0.0,0.33,59,0,0.0,Religious
0.380417,0.166667,0.0,0.22,31,3,0.0,Religious
0.284167,0.0,0.0,0.0,40,3,0.0,Religious
0.325417,0.166667,0.666667,0.22,42,2,0.0,Religious
0.325417,0.111111,0.333333,0.33,31,1,0.11,Religious
0.297917,0.166667,0.666667,0.44,36,0,0.11,Religious
0.235833,0.111111,0.0,0.663333,20,1,0.166667,Religious
0.297083,0.111111,0.0,0.22,40,2,0.11,Religious
0.237454,0.222222,0.0,0.33,38,1,0.166667,Religious
0.325417,0.111111,0.333333,0.55,32,1,0.0,Religious
0.270417,0.388889,0.0,0.22,35,1,0.0,Secular
0.40875,0.166667,0.333333,0.33,40,2,0.0,Religious
0.19838,0.0,0.0,0.44,48,1,0.0,Religious
0.188287,0.222222,0.0,0.33,32,1,0.276667,Religious
0.415278,0.166667,0.333333,0.44,25,2,0.276667,Religious
0.408611,0.0,0.0,0.22,30,2,0.0,Religious
0.231204,0.0,1.0,0.22,26,1,0.11,Religious
0.276667,0.11,0.333333,0.33,22,3,0.166667,Religious
0.216204,0.111111,0.666667,0.553333,26,4,0.773333,Religious
0.415,0.166667,0.333333,0.33,58,2,0.24622,Religious
0.327593,0.166667,0.666667,0.22,36,2,0.166667,Religious
0.366944,0.166667,1.0,0.22,45,2,0.166667,Religious
0.463889,0.223,1.0,0.553333,60,0,0.11,Religious
0.422639,0.1505,0.333333,0.666667,38,5,0.22,Religious
0.256667,0.166667,0.333333,0.66,24,2,0.0,Religious
0.297778,0.166667,1.0,0.55,19,3,0.166667,Religious
0.374583,0.0,0.0,0.443333,22,3,0.103,Religious
0.340948,0.055556,0.0,0.66335,28,2,0.11,Religious
0.390787,0.0,0.0,0.886667,40,1,0.0,Religious
0.36,0.166667,0.0,0.663333,45,0,0.496667,Religious
0.270417,0.166667,0.0,0.33,19,2,0.11,Religious
0.320509,0.277778,1.0,0.55,48,1,0.166667,Religious
0.446343,0.277778,0.333333,0.66,32,2,0.166667,Religious
0.395417,0.055556,0.0,0.443333,55,0,0.276667,Religious
0.346667,0.0,0.666667,0.443333,28,2,0.0,Religious
0.185185,0.0,1.0,0.886667,35,1,0.0,Religious
0.1175,0.055556,0.0,0.666667,18,3,0.0,Religious
0.258981,0.0,0.0,0.22,40,2,0.0,Religious
0.120093,0.0,0.0,0.663333,28,2,0.0,Religious
0.290278,0.055556,0.0,0.553333,44,2,0.0,Religious
0.152083,0.277778,0.0,0.11,30,2,0.0,Religious
0.325,0.055556,0.0,0.11,40,0,0.0,Religious
0.395,0.055556,0.0,0.0,21,1,0.0,Religious
0.166667,0.0,0.0,0.553333,38,2,0.0,Religious
0.249167,0.0,0.666667,0.55,28,1,0.166667,Religious
0.307037,0.222222,0.333333,0.773333,35,2,0.0,Religious
0.298056,0.0,0.333333,0.553333,30,1,0.0,Religious
0.274352,0.0,0.666667,0.0,55,1,0.0,Religious
0.385463,0.0,0.0,0.33,30,1,0.276667,Religious
0.330602,0.0,0.666667,0.663333,43,2,0.11,Religious
0.335093,0.055556,0.666667,0.44,39,2,0.166667,Religious
0.346667,0.166667,0.0,0.11,36,3,0.0,Religious
0.19375,0.0,0.0,0.66064,42,1,0.166667,Religious
0.302269,0.111111,0.666667,0.773333,26,2,0.333333,Religious
0.360833,0.055556,0.0,0.663333,60,3,0.0,Religious
0.209676,0.277778,0.0,0.33,45,1,0.0,Religious
0.13125,0.0,0.0,0.11,50,2,0.0,Religious
0.198102,0.277778,0.0,0.33,45,2,0.0,Religious
0.325417,0.0,0.0,0.33,40,1,0.0,Religious
0.34625,0.111111,0.0,0.44,50,1,0.0,Religious
0.395833,0.166667,0.0,0.0,28,7,0.0,Religious
0.191435,0.055556,0.0,0.33,45,1,0.11,Religious
0.311667,0.166667,0.0,0.0,30,1,0.0,Religious
0.367083,0.166667,0.0,0.44,45,1,0.0,Religious
0.267685,0.0,0.333333,0.44,40,1,0.11,Religious
0.334676,0.111111,0.333333,0.663333,45,0,0.166667,Religious
0.269583,0.111111,0.0,0.22,50,0,0.0,Religious
0.276667,0.166667,0.0,0.33,30,1,0.11,Religious
0.374167,0.0,0.0,0.886667,40,0,0.0,Religious
0.325,0.166667,0.0,0.11,24,3,0.11,Religious
0.375926,0.111111,0.333333,0.44,36,0,0.166667,Religious
0.403676,0.277778,0.666667,0.66,58,0,0.166667,Religious
0.325593,0.221111,0.0,0.55,30,1,0.166667,Religious
0.300333,0.055556,0.0,0.11,19,2,0.0,Religious
0.234861,0.055556,0.333333,0.55,40,1,0.11,Religious
0.41625,0.0,0.0,0.22,33,7,0.0,Religious
0.284352,0.166667,0.666667,0.55,42,1,0.166667,Religious
0.506111,0.277778,0.333333,0.773333,51,1,0.166667,Religious
0.272454,0.0,0.0,0.55,26,3,0.11,Religious
0.284167,0.0,0.0,0.22,37,3,0.0,Religious
0.51537,0.0,0.666667,0.22,21,6,0.33,Religious
0.285509,0.055556,0.333333,0.44,25,3,0.11,Religious
0.407714,0.0,0.333333,0.0,34,1,0.11,Religious
0.422778,0.497778,0.333333,0.663333,37,2,0.166667,Secular
0.339028,0.277778,0.0,0.0,20,3,0.0,Religious
0.339167,0.166667,0.0,0.0,35,0,0.0,Religious
0.374583,0.0,0.0,0.33,30,3,0.0,Religious
0.15125,0.0,0.0,0.22,50,2,0.0,Religious
0.198102,0.222222,0.0,0.0,40,1,0.0,Religious
0.339167,0.166667,0.0,0.0,50,0,0.0,Religious
0.374583,0.0,0.0,0.22,50,2,0.0,Religious
0.117083,0.055556,0.0,0.22,45,2,0.0,Religious
0.325417,0.166667,0.0,0.0,37,1,0.0,Religious
0.188843,0.222222,0.0,0.0,35,2,0.11,Religious
0.193333,0.166667,0.0,0.773333,20,3,0.166667,Religious
0.339167,0.166667,0.0,0.0,45,0,0.0,Religious
0.339167,0.166667,0.0,0.11,58,1,0.0,Religious
0.152083,0.222222,0.0,0.0,35,0,0.0,Religious
0.339167,0.166667,0.0,0.0,42,2,0.0,Religious
0.262917,0.0,0.0,0.44,24,2,0.11,Religious
0.34625,0.166667,0.0,0.33,27,7,0.0,Religious
0.262917,0.222222,0.0,0.11,39,2,0.0,Religious
0.312083,0.0,0.0,0.22,30,2,0.0,Religious
0.152083,0.166667,0.0,0.11,46,2,0.0,Religious
0.336713,0.055556,1.0,0.44,65,0,0.0,Religious
0.327454,0.055556,1.0,0.33,59,3,0.0,Religious
0.340926,0.0,0.666667,0.33,30,2,0.0,Religious
0.371157,0.166667,1.0,0.44,40,0,0.11,Religious
0.470556,0.111111,1.0,0.553333,25,3,0.166667,Religious
0.299676,0.166667,0.333333,0.44,40,1,0.0,Religious
0.352639,0.166667,1.0,0.44,35,1,0.166667,Religious
0.371157,0.166667,1.0,0.44,22,2,0.0,Religious
0.333056,0.055556,0.0,0.33,26,1,0.0,Religious
0.336713,0.055556,1.0,0.44,40,1,0.0,Religious
0.575,0.277778,0.0,0.22,35,3,0.166667,Religious
0.175093,0.277778,0.333333,0.33,35,1,0.11,Religious
0.168426,0.222222,0.0,0.33,38,2,0.22,Religious
0.209676,0.166667,0.0,0.663333,25,6,0.11,Religious
0.258426,0.166667,0.0,0.663333,27,3,0.11,Religious
0.215005,0.333333,0.0,0.0,58,1,0.24622,Religious
0.159167,0.222222,0.333333,0.33,40,1,0.11,Religious
0.237593,0.222222,0.666667,0.33,30,1,0.22,Religious
0.501343,0.276667,0.0,0.50253,20,3,0.0,Religious
0.409167,0.277778,0.0,0.333333,18,3,0.0,Religious
0.443056,0.166667,1.0,0.11,23,3,0.0,Religious
0.218935,0.055556,0.666667,0.33,60,1,0.0,Religious
0.214583,0.0,0.0,0.0,29,2,0.0,Religious
0.322685,0.223,1.0,0.33,28,2,0.11,Religious
0.253935,0.0,0.333333,0.11,26,3,0.24622,Religious
0.240185,0.055556,0.333333,0.11,22,3,0.11,Religious
0.203426,0.055556,0.666667,0.11,34,3,0.11,Religious
0.222222,0.277778,0.666667,0.0,18,3,0.11,Religious
0.23963,0.166667,0.666667,0.55,22,6,0.0,Religious
0.270417,0.0,0.0,0.0,60,1,0.0,Religious
0.352778,0.277778,0.666667,0.66,27,2,0.0,Religious
0.4925,0.166667,0.333333,0.0,45,3,0.0,Religious
0.138333,0.055556,0.0,0.55,20,3,0.0,Religious
0.215,0.111111,0.0,0.33,35,1,0.11,Religious
0.295185,0.111111,0.333333,0.33,25,6,0.276667,Religious
0.248333,0.111111,0.0,0.443333,35,2,0.11,Religious
